"","MPA","Users","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"103","Cap de Creus","Recreational fishers","RCP45_2100",0.545879821932197,0.00624954047496508,0.434792899408284,"Very High","Low","Intermediate","High"
"104","Cap de Creus","Nautical activities","RCP85_2100",0.866317376125847,0.585917856556704,0.298963285789752,"Extreme","Extreme","Low","Extreme"
"105","Brijuni","Recreational fishers","RCP85_2100",0.933756502824438,0.666666666666667,0.307971259509721,"Extreme","Extreme","Low","Extreme"
"106","Brijuni","Nautical activities","RCP85_2100",0.933756502824438,0.665,0.350639583333333,"Extreme","Extreme","Low","Extreme"
"107","Brijuni","Nautical activities","RCP26_2050",0.397798662630573,0.665,0.350639583333333,"Intermediate","Extreme","Low","Very High"
"108","Brijuni","Nautical activities","RCP26_2100",0.327934363860424,0.665,0.350639583333333,"Intermediate","Extreme","Low","Very High"
"109","Brijuni","Recreational fishers","RCP85_2050",0.417290578038029,0.666666666666667,0.307971259509721,"Intermediate","Extreme","Low","Very High"
"110","Brijuni","Nautical activities","RCP45_2050",0.388660873053288,0.665,0.350639583333333,"Intermediate","Extreme","Low","Very High"
"111","Cap de Creus","Nautical activities","RCP85_2050",0.324972508994368,0.585917856556704,0.298963285789752,"Intermediate","Extreme","Low","Very High"
"112","Cap de Creus","Nautical activities","RCP26_2050",0.379403039877098,0.585917856556704,0.298963285789752,"Intermediate","Extreme","Low","Very High"
"113","Brijuni","Recreational fishers","RCP26_2100",0.327934363860424,0.666666666666667,0.307971259509721,"Intermediate","Extreme","Low","Very High"
"114","Brijuni","Recreational fishers","RCP26_2050",0.397798662630573,0.666666666666667,0.307971259509721,"Intermediate","Extreme","Low","Very High"
"115","Brijuni","Nautical activities","RCP85_2050",0.417290578038029,0.665,0.350639583333333,"Intermediate","Extreme","Low","Very High"
"116","Brijuni","Recreational fishers","RCP45_2050",0.388660873053288,0.666666666666667,0.307971259509721,"Intermediate","Extreme","Low","Very High"
"117","Cap de Creus","Nautical activities","RCP45_2050",0.291554004044364,0.585917856556704,0.298963285789752,"Low","Extreme","Low","Very High"
"118","Cap de Creus","Nautical activities","RCP26_2100",0.276650910354068,0.585917856556704,0.298963285789752,"Low","Extreme","Low","Very High"
"119","Brijuni","Nautical activities","RCP45_2100",0.579798129171526,0.665,0.350639583333333,"Very High","Extreme","Low","Extreme"
"120","Brijuni","Recreational fishers","RCP45_2100",0.579798129171526,0.666666666666667,0.307971259509721,"Very High","Extreme","Low","Extreme"
"121","Cap de Creus","Nautical activities","RCP45_2100",0.545879821932197,0.585917856556704,0.298963285789752,"Very High","Extreme","Low","Extreme"
"122","Baix Emporda","Professional fishers","RCP85_2100",0.866317376125847,0.364857833333333,0.34626875,"Extreme","High","Low","Very High"
